expo,table,project,sponsors,link,cortex,jid
2,50,Auto Investor,"Blackrock, Capital One API, Disney, Firebase",http://mhacksrefactor.devpost.com/submissions/48656-auto-investor,Web Development,a250
2,51,SmartCard MiddleWare,"Capital One API, Twilio Hack",http://mhacksrefactor.devpost.com/submissions/48663-smartcard-middleware,Web Development,a251
2,52,Ignite,Esri ArcGIS,http://mhacksrefactor.devpost.com/submissions/48671-ignite,Web Development,a252
2,53,Coincide,"Blackrock, Capital One API, Concur",http://mhacksrefactor.devpost.com/submissions/48683-coincide,Web Development,a253
2,54,Giving Tree,"Blackrock, MongoDB, Target API, Disney, Cloud Services by Linode",http://mhacksrefactor.devpost.com/submissions/48690-giving-tree,Web Development,a254
2,55,Bueller,"Domain.com Domain Name, Disney, Cloud Services by Linode, Firebase",http://mhacksrefactor.devpost.com/submissions/48691-bueller,Web Development,a255
2,56,Rover,"Capital One API, Concur, Domain.com Domain Name, Disney, Cloud Services by Linode",http://mhacksrefactor.devpost.com/submissions/48760-rover,Web Development,a256
2,57,Mclicker,Twilio Hack,http://mhacksrefactor.devpost.com/submissions/48770-mclicker,Web Development,a257
2,58,WikiPresent,"Domain.com Domain Name, Disney",http://mhacksrefactor.devpost.com/submissions/48839-wikipresent,Web Development,a258
2,59,Argo,"Domain.com Domain Name, Disney, Firebase",http://mhacksrefactor.devpost.com/submissions/48870-argo,Web Development,a259
2,60,Instabuy,"Insights by Qualtrics, Capital One API, Target API, Visa API, Twilio Hack",http://mhacksrefactor.devpost.com/submissions/48873-instabuy,Web Development,a260
2,61,GymGo,"Capital One API, Meridian Health, Domain.com Domain Name, Cloud Services by Linode",http://mhacksrefactor.devpost.com/submissions/48877-gymgo,Web Development,a261
2,62,unbias,Firebase,http://mhacksrefactor.devpost.com/submissions/48878-unbias,Web Development,a262
2,63,WalletStreet,"Blackrock, Capital One API, Firebase",http://mhacksrefactor.devpost.com/submissions/48879-walletstreet,Web Development,a263
2,64,Travel Broke,"Concur, Disney, Twilio Hack",http://mhacksrefactor.devpost.com/submissions/48888-travel-broke,Web Development,a264
2,65,Adele,"Concur, Domain.com Domain Name, Disney, Cloud Services by Linode, Twilio Hack",http://mhacksrefactor.devpost.com/submissions/48892-adele,Web Development,a265
2,66,Aparecium,"Esri ArcGIS, Domain.com Domain Name, Disney, Cloud Services by Linode, Twilio Hack, Firebase",http://mhacksrefactor.devpost.com/submissions/48893-aparecium,Web Development,a266
2,67,Guchi,"Blackrock, Insights by Qualtrics, Capital One API, MongoDB, Concur, Meridian Health, Intel Edison, Visa API, Disney, Cloud Services by Linode, Twilio Hack, Firebase",http://mhacksrefactor.devpost.com/submissions/48894-guchi,Web Development,a267
2,68,Tinder for Target,,http://mhacksrefactor.devpost.com/submissions/48896-tinder-for-target,Web Development,a268
2,69,WakeMeUp!,Twilio Hack,http://mhacksrefactor.devpost.com/submissions/48897-wakemeup,Web Development,a269
2,70,Down to Neural Netword (DNN),Disney,http://mhacksrefactor.devpost.com/submissions/48898-down-to-neural-netword-dnn,Web Development,a270
2,71,MedxPort,"Meridian Health, Disney, Firebase",http://mhacksrefactor.devpost.com/submissions/48899-medxport,Web Development,a271
2,72,You've got to be shitting me,"Capital One API, Domain.com Domain Name",http://mhacksrefactor.devpost.com/submissions/48900-you-ve-got-to-be-shitting-me,Web Development,a272
2,73,House of Carbs,"Meridian Health, Domain.com Domain Name, Firebase",http://mhacksrefactor.devpost.com/submissions/48902-house-of-carbs,Web Development,a273
2,74,workoutDB,,http://mhacksrefactor.devpost.com/submissions/48907-workoutdb,Web Development,a274
2,75,routru,"Concur, Twilio Hack",http://mhacksrefactor.devpost.com/submissions/48909-routru,Web Development,a275
2,76,Informed,"Disney, Cloud Services by Linode",http://mhacksrefactor.devpost.com/submissions/48916-informed,Web Development,a276
2,77,electionmate,,http://mhacksrefactor.devpost.com/submissions/48918-electionmate,Web Development,a277
2,78,140 M.D.,"Insights by Qualtrics, Meridian Health, Firebase",http://mhacksrefactor.devpost.com/submissions/48919-140-m-d,Web Development,a278
2,79,AvoPol,,http://mhacksrefactor.devpost.com/submissions/48936-avopol,Web Development,a279
2,80,inverxion - the lending platform for small businesses,"Capital One API, Blackrock, Twilio Hack, MongoDB",http://mhacksrefactor.devpost.com/submissions/48937-inverxion-the-lending-platform-for-small-businesses,Web Development,a280
2,81,MiddleOut,"Insights by Qualtrics, Disney",http://mhacksrefactor.devpost.com/submissions/48943-middleout,Web Development,a281
